entitlement_id,cust_id,product_id,month,consumed_units,licensed_amount_month
E00001,C0074,P0464,2025-08-01,148.9,1000.0
E00001,C0074,P0464,2025-09-01,428.5,1000.0
E00001,C0074,P0464,2025-10-01,714.9,1000.0
E00001,C0074,P0464,2025-11-01,593.0,1000.0
E00001,C0074,P0464,2025-12-01,661.9,1000.0
E00001,C0074,P0464,2026-01-01,860.7,1000.0
E00001,C0074,P0464,2026-02-01,681.7,1000.0
E00001,C0074,P0464,2026-03-01,717.4,1000.0
E00001,C0074,P0464,2026-04-01,802.4,1000.0
E00001,C0074,P0464,2026-05-01,778.1,1000.0
E00001,C0074,P0464,2026-06-01,837.7,1000.0
E00001,C0074,P0464,2026-07-01,895.6,1000.0
E00002,C0013,P0405,2025-06-01,34.12,200.0
E00002,C0013,P0405,2025-07-01,72.88,200.0
E00002,C0013,P0405,2025-08-01,101.8,200.0
E00002,C0013,P0405,2025-09-01,139.1,200.0
E00002,C0013,P0405,2025-10-01,164.92,200.0
E00002,C0013,P0405,2025-11-01,109.16,200.0
E00002,C0013,P0405,2025-12-01,159.6,200.0
E00002,C0013,P0405,2026-01-01,145.0,200.0
E00002,C0013,P0405,2026-02-01,116.26,200.0
E00002,C0013,P0405,2026-03-01,117.1,200.0
E00003,C0047,P0249,2025-06-01,2.17,10.0
E00003,C0047,P0249,2025-07-01,4.3,10.0
E00003,C0047,P0249,2025-08-01,4.91,10.0
E00003,C0047,P0249,2025-09-01,9.24,10.0
E00003,C0047,P0249,2025-10-01,8.39,10.0
E00003,C0047,P0249,2025-11-01,7.05,10.0
E00003,C0047,P0249,2025-12-01,5.55,10.0
E00003,C0047,P0249,2026-01-01,8.51,10.0
E00004,C0037,P0444,2025-06-01,74.2,500.0
E00004,C0037,P0444,2025-07-01,180.45,500.0
E00004,C0037,P0444,2025-08-01,344.65,500.0
E00004,C0037,P0444,2025-09-01,393.7,500.0
E00004,C0037,P0444,2025-10-01,376.85,500.0
E00004,C0037,P0444,2025-11-01,383.75,500.0
E00004,C0037,P0444,2025-12-01,305.0,500.0
E00005,C0007,P0454,2025-06-01,1751.02,500.0
E00005,C0007,P0454,2025-07-01,1980.43,500.0
E00005,C0007,P0454,2025-08-01,1897.25,500.0
E00005,C0007,P0454,2026-01-01,9.08,500.0
E00006,C0001,P0293,2025-11-01,8.94,50.0
E00006,C0001,P0293,2025-12-01,14.88,50.0
E00006,C0001,P0293,2026-01-01,26.13,50.0
E00006,C0001,P0293,2026-02-01,30.51,50.0
E00006,C0001,P0293,2026-03-01,41.48,50.0
