cust_id,cust_name,region,segment,industry,customer_since,behaviour_cohort,account_owner,is_internal
C0001,"Rodriguez, Figueroa and Sanchez",AMER,Mid-Market,Energy,2017-04-03,healthy,A. Rivera,False
C0002,Rhodes PLC,APAC,Mid-Market,Manufacturing,2016-10-12,healthy,B. Chen,False
C0003,Johnson-Davis,AMER,Enterprise,Public Sector,2018-02-03,healthy,C. Okafor,False
C0004,"Johnson, Gonzalez and Santos",EMEA,Enterprise,Energy,2020-11-26,shelfware,D. Novak,False
C0005,Cole LLC,AMER,Mid-Market,Manufacturing,2023-04-15,healthy,E. Haddad,False
C0006,Blake and Sons,EMEA,Enterprise,Financial Services,2022-04-14,healthy,F. Lindqvist,False
C0007,Ramirez-Lewis,APAC,Enterprise,Manufacturing,2022-11-15,spike_drop,A. Rivera,False
C0008,Davis Inc,APAC,Enterprise,Healthcare,2019-03-26,healthy,B. Chen,False
C0009,Munoz-Roman,AMER,Mid-Market,Telecom,2022-07-27,overage,C. Okafor,False
C0010,"Martinez, Nielsen and Miller",EMEA,Mid-Market,Financial Services,2018-08-21,healthy,D. Novak,False
C0011,"Montgomery, Hensley and Ray",EMEA,Enterprise,Public Sector,2022-05-05,healthy,E. Haddad,False
C0012,Stanley LLC,APAC,Enterprise,Public Sector,2024-11-13,shelfware,F. Lindqvist,False
C0013,Delacruz Group,AMER,Enterprise,Public Sector,2018-07-02,healthy,A. Rivera,False
C0014,"Flowers, Martin and Kelly",JAPAC,Mid-Market,Healthcare,2022-01-12,healthy,B. Chen,False
C0015,"Zuniga, Wong and Lynch",APAC,Enterprise,Retail,2017-07-16,healthy,C. Okafor,False
C0016,"Sanchez, Ford and Nelson",AMER,Mid-Market,Financial Services,2024-04-30,healthy,D. Novak,False
C0017,"Hawkins, Cohen and Cameron",EMEA,Enterprise,Healthcare,2022-12-26,healthy,E. Haddad,False
C0018,Underwood LLC,JAPAC,Mid-Market,Public Sector,2019-08-12,healthy,F. Lindqvist,False
C0019,Clark PLC,AMER,Enterprise,Healthcare,2023-11-21,healthy,A. Rivera,False
C0020,Lewis-Porter,AMER,Enterprise,Healthcare,2023-12-18,healthy,B. Chen,False
C0021,"Ellis, Baker and Wright",JAPAC,Enterprise,Manufacturing,2021-01-19,healthy,C. Okafor,False
C0022,Burgess-Patterson,AMER,Enterprise,Manufacturing,2021-04-02,overage,D. Novak,False
C0023,Robinson-Bright,AMER,Mid-Market,Energy,2020-08-02,healthy,E. Haddad,False
C0024,Campos Inc,JAPAC,Mid-Market,Retail,2017-05-17,healthy,F. Lindqvist,False
C0025,Conner Group,EMEA,Enterprise,Technology,2021-05-14,healthy,A. Rivera,False
C0026,James-Ferrell,AMER,Enterprise,Healthcare,2020-10-05,healthy,B. Chen,False
C0027,"Valencia, Smith and Le",AMER,Enterprise,Financial Services,2022-02-19,healthy,C. Okafor,False
C0028,INTERNAL — QA Sandbox,EMEA,Enterprise,Retail,2018-08-23,overage,D. Novak,True
C0029,Chavez Ltd,AMER,Mid-Market,Financial Services,2023-11-19,healthy,E. Haddad,False
C0030,Stanton-Gill,AMER,Mid-Market,Technology,2020-07-27,healthy,F. Lindqvist,False
C0031,Harrell LLC,AMER,Enterprise,Telecom,2023-07-30,shelfware,A. Rivera,False
C0032,"Lynch, Hernandez and Farmer",AMER,Enterprise,Telecom,2020-11-08,healthy,B. Chen,False
C0033,"Sellers, George and Burns",AMER,Enterprise,Energy,2017-01-02,healthy,C. Okafor,False
C0034,Koch-Decker,AMER,Enterprise,Energy,2018-10-08,healthy,D. Novak,False
C0035,Allen PLC,AMER,Enterprise,Financial Services,2024-07-10,healthy,E. Haddad,False
C0036,Dennis Inc,EMEA,Mid-Market,Healthcare,2024-10-20,healthy,F. Lindqvist,False
C0037,"Cannon, Anderson and Alvarez",AMER,Mid-Market,Healthcare,2020-12-12,healthy,A. Rivera,False
C0038,Rose-Obrien,AMER,Enterprise,Telecom,2024-09-05,healthy,B. Chen,False
C0039,"Campos, Vaughn and Marquez",AMER,Enterprise,Telecom,2019-08-04,healthy,C. Okafor,False
C0040,"Santos, Kim and Holmes",AMER,Mid-Market,Telecom,2017-02-01,shelfware,D. Novak,False
C0041,Brown Inc,APAC,Mid-Market,Healthcare,2021-04-18,healthy,E. Haddad,False
C0042,Chapman Inc,AMER,Mid-Market,Financial Services,2016-08-21,overage,F. Lindqvist,False
C0043,"Brown, Jones and Johnson",JAPAC,Mid-Market,Retail,2018-12-22,healthy,A. Rivera,False
C0044,"Young, Caldwell and Lewis",AMER,Enterprise,Retail,2017-03-11,healthy,B. Chen,False
C0045,"Johnston, Sanchez and Kennedy",APAC,Mid-Market,Manufacturing,2019-08-31,overage,C. Okafor,False
C0046,Davis Group,AMER,Mid-Market,Public Sector,2019-03-10,healthy,D. Novak,False
C0047,Owens-Daniel,JAPAC,Mid-Market,Public Sector,2022-01-23,healthy,E. Haddad,False
C0048,"Garcia, Powell and Morgan",AMER,Mid-Market,Telecom,2023-10-04,healthy,F. Lindqvist,False
