entitlement_id,cust_id,product_id,event_type,event_date
E00001,C0074,P0464,contract_start,2025-08-01
E00001,C0074,P0464,kickoff,2025-08-05
E00001,C0074,P0464,first_login,2025-08-19
E00001,C0074,P0464,first_value,2025-09-09
E00001,C0074,P0464,core_complete,2025-11-15
E00002,C0013,P0405,contract_start,2025-04-01
E00002,C0013,P0405,kickoff,2025-04-10
E00002,C0013,P0405,first_login,2025-04-24
E00002,C0013,P0405,first_value,2025-05-13
E00002,C0013,P0405,core_complete,2025-08-07
E00003,C0047,P0249,contract_start,2025-02-01
E00003,C0047,P0249,kickoff,2025-02-18
E00003,C0047,P0249,first_login,2025-03-08
E00003,C0047,P0249,first_value,2025-03-06
E00003,C0047,P0249,core_complete,2025-04-04
E00004,C0037,P0444,contract_start,2025-01-01
E00004,C0037,P0444,kickoff,2025-01-12
E00004,C0037,P0444,first_login,2025-02-03
E00004,C0037,P0444,first_value,2025-03-07
E00004,C0037,P0444,core_complete,2025-04-16
E00005,C0007,P0454,contract_start,2025-06-01
E00005,C0007,P0454,kickoff,2025-06-20
E00005,C0007,P0454,first_login,2025-07-04
E00005,C0007,P0454,first_value,2025-06-11
E00006,C0001,P0293,contract_start,2025-11-01
E00006,C0001,P0293,kickoff,2025-11-21
E00006,C0001,P0293,first_login,2025-11-13
E00006,C0001,P0293,first_value,2025-12-22
E00006,C0001,P0293,core_complete,2026-03-07
E00007,C0096,P0047,contract_start,2025-09-01
E00007,C0096,P0047,kickoff,2025-09-08
E00007,C0096,P0047,first_login,2025-09-21
E00007,C0096,P0047,first_value,2025-10-08
E00007,C0096,P0047,core_complete,2026-01-01
E00008,C0097,P0378,contract_start,2025-05-01
E00008,C0097,P0378,kickoff,2025-05-15
E00008,C0097,P0378,first_login,2025-06-04
E00008,C0097,P0378,first_value,2025-05-27
E00008,C0097,P0378,core_complete,2025-06-29
E00009,C0016,P0112,contract_start,2025-11-01
E00009,C0016,P0112,kickoff,2025-11-15
E00009,C0016,P0112,first_login,2025-11-19
E00009,C0016,P0112,first_value,2026-01-01
E00009,C0016,P0112,core_complete,2026-03-19
E00010,C0046,P0131,contract_start,2025-03-01
E00010,C0046,P0131,kickoff,2025-03-20
E00010,C0046,P0131,first_login,2025-03-29
E00010,C0046,P0131,first_value,2025-05-06
E00010,C0046,P0131,core_complete,2025-06-28
E00011,C0029,P0217,contract_start,2025-05-01
E00011,C0029,P0217,kickoff,2025-05-22
E00011,C0029,P0217,first_login,2025-05-09
E00011,C0029,P0217,first_value,2025-06-05
E00011,C0029,P0217,core_complete,2025-06-30
E00012,C0012,P0367,contract_start,2025-04-01
E00013,C0084,P0340,contract_start,2024-12-01
E00013,C0084,P0340,kickoff,2024-12-14
E00013,C0084,P0340,first_login,2025-01-04
E00013,C0084,P0340,first_value,2025-01-09
E00013,C0084,P0340,core_complete,2025-03-18
E00014,C0071,P0197,contract_start,2025-10-01
E00014,C0071,P0197,kickoff,2025-10-16
E00014,C0071,P0197,first_login,2025-10-11
E00014,C0071,P0197,first_value,2025-10-19
E00015,C0064,P0351,contract_start,2025-11-01
E00015,C0064,P0351,kickoff,2025-11-04
E00015,C0064,P0351,first_login,2025-12-04
E00015,C0064,P0351,first_value,2026-01-05
E00015,C0064,P0351,core_complete,2026-03-21
E00016,C0060,P0466,contract_start,2025-03-01
E00016,C0060,P0466,kickoff,2025-03-21
E00016,C0060,P0466,first_login,2025-03-17
E00016,C0060,P0466,first_value,2025-04-27
E00016,C0060,P0466,core_complete,2025-06-17
E00017,C0033,P0422,contract_start,2025-04-01
E00017,C0033,P0422,kickoff,2025-04-04
E00017,C0033,P0422,first_login,2025-04-24
E00017,C0033,P0422,first_value,2025-05-27
E00017,C0033,P0422,core_complete,2025-07-12
E00018,C0039,P0451,contract_start,2025-02-01
E00018,C0039,P0451,kickoff,2025-02-17
E00018,C0039,P0451,first_login,2025-03-02
E00018,C0039,P0451,first_value,2025-03-11
E00018,C0039,P0451,core_complete,2025-05-02
E00019,C0093,P0482,contract_start,2025-04-01
E00019,C0093,P0482,kickoff,2025-04-04
E00019,C0093,P0482,first_login,2025-04-22
E00019,C0093,P0482,first_value,2025-04-24
E00019,C0093,P0482,core_complete,2025-06-17
E00020,C0031,P0449,contract_start,2025-06-01
E00021,C0067,P0181,contract_start,2025-11-01
E00021,C0067,P0181,kickoff,2025-11-10
E00021,C0067,P0181,first_login,2025-11-19
E00021,C0067,P0181,first_value,2026-01-15
E00021,C0067,P0181,core_complete,2026-03-31
E00022,C0004,P0015,contract_start,2025-08-01
E00022,C0004,P0015,kickoff,2025-08-14
E00023,C0051,P0070,contract_start,2025-02-01
E00023,C0051,P0070,kickoff,2025-02-20
E00023,C0051,P0070,first_login,2025-03-04
E00023,C0051,P0070,first_value,2025-04-07
E00023,C0051,P0070,core_complete,2025-06-13
E00024,C0057,P0043,contract_start,2025-10-01
E00024,C0057,P0043,kickoff,2025-10-18
E00024,C0057,P0043,first_login,2025-11-01
E00024,C0057,P0043,first_value,2025-11-11
E00024,C0057,P0043,core_complete,2026-01-17
E00025,C0058,P0352,contract_start,2025-08-01
E00025,C0058,P0352,kickoff,2025-08-19
E00025,C0058,P0352,first_login,2025-08-23
E00025,C0058,P0352,first_value,2025-09-07
E00025,C0058,P0352,core_complete,2025-11-03
E00026,C0081,P0377,contract_start,2025-05-01
E00026,C0081,P0377,kickoff,2025-05-13
E00026,C0081,P0377,first_login,2025-06-05
E00026,C0081,P0377,first_value,2025-07-05
E00026,C0081,P0377,core_complete,2025-08-11
E00027,C0025,P0102,contract_start,2025-10-01
E00027,C0025,P0102,kickoff,2025-10-20
E00027,C0025,P0102,first_login,2025-10-22
E00027,C0025,P0102,first_value,2025-10-30
E00027,C0025,P0102,core_complete,2026-01-23
E00028,C0034,P0484,contract_start,2025-02-01
E00028,C0034,P0484,kickoff,2025-02-11
E00028,C0034,P0484,first_login,2025-02-23
E00028,C0034,P0484,first_value,2025-03-31
E00028,C0034,P0484,core_complete,2025-04-12
E00029,C0068,P0499,contract_start,2024-12-01
E00029,C0068,P0499,kickoff,2024-12-19
E00029,C0068,P0499,first_login,2024-12-09
E00029,C0068,P0499,first_value,2025-02-04
E00029,C0068,P0499,core_complete,2025-04-01
E00030,C0053,P0317,contract_start,2025-11-01
E00030,C0053,P0317,kickoff,2025-11-13
E00030,C0053,P0317,first_login,2025-11-25
E00030,C0053,P0317,first_value,2025-11-22
E00031,C0062,P0088,contract_start,2025-02-01
E00032,C0055,P0476,contract_start,2025-08-01
E00032,C0055,P0476,kickoff,2025-08-12
E00032,C0055,P0476,first_login,2025-08-31
E00032,C0055,P0476,first_value,2025-09-08
E00032,C0055,P0476,core_complete,2025-11-12
E00033,C0008,P0105,contract_start,2025-07-01
E00033,C0008,P0105,kickoff,2025-07-17
E00033,C0008,P0105,first_login,2025-07-12
E00033,C0008,P0105,first_value,2025-08-02
E00033,C0008,P0105,core_complete,2025-10-04
E00034,C0055,P0196,contract_start,2025-04-01
E00034,C0055,P0196,kickoff,2025-04-19
E00034,C0055,P0196,first_login,2025-04-11
E00034,C0055,P0196,first_value,2025-04-21
E00034,C0055,P0196,core_complete,2025-07-15
E00035,C0083,P0145,contract_start,2025-03-01
E00035,C0083,P0145,kickoff,2025-03-11
E00035,C0083,P0145,first_login,2025-03-18
E00035,C0083,P0145,first_value,2025-04-09
E00035,C0083,P0145,core_complete,2025-06-15
E00036,C0002,P0500,contract_start,2025-06-01
E00036,C0002,P0500,kickoff,2025-06-17
E00036,C0002,P0500,first_login,2025-06-22
E00036,C0002,P0500,first_value,2025-07-07
E00036,C0002,P0500,core_complete,2025-09-03
E00037,C0035,P0351,contract_start,2025-07-01
E00037,C0035,P0351,kickoff,2025-07-13
E00037,C0035,P0351,first_login,2025-07-11
E00037,C0035,P0351,first_value,2025-09-09
E00037,C0035,P0351,core_complete,2025-11-20
E00038,C0039,P0499,contract_start,2025-07-01
E00038,C0039,P0499,kickoff,2025-07-08
E00038,C0039,P0499,first_login,2025-07-29
E00038,C0039,P0499,first_value,2025-08-20
E00038,C0039,P0499,core_complete,2025-09-24
E00039,C0081,P0377,contract_start,2025-11-01
E00039,C0081,P0377,kickoff,2025-11-06
E00039,C0081,P0377,first_login,2025-11-17
E00039,C0081,P0377,first_value,2026-01-12
E00039,C0081,P0377,core_complete,2026-04-12
E00040,C0093,P0477,contract_start,2025-08-01
E00040,C0093,P0477,kickoff,2025-08-10
E00040,C0093,P0477,first_login,2025-08-16
E00040,C0093,P0477,first_value,2025-08-26
E00040,C0093,P0477,core_complete,2025-09-12
E00041,C0082,P0259,contract_start,2025-05-01
E00041,C0082,P0259,kickoff,2025-05-14
E00041,C0082,P0259,first_login,2025-05-17
E00041,C0082,P0259,first_value,2025-05-21
E00041,C0082,P0259,core_complete,2025-06-30
E00042,C0011,P0457,contract_start,2025-06-01
E00042,C0011,P0457,kickoff,2025-06-13
E00042,C0011,P0457,first_login,2025-06-19
E00042,C0011,P0457,first_value,2025-07-13
E00042,C0011,P0457,core_complete,2025-09-07
E00043,C0043,P0477,contract_start,2025-04-01
E00043,C0043,P0477,kickoff,2025-04-17
E00043,C0043,P0477,first_login,2025-05-03
E00043,C0043,P0477,first_value,2025-05-02
E00043,C0043,P0477,core_complete,2025-07-05
E00044,C0051,P0272,contract_start,2025-02-01
E00044,C0051,P0272,kickoff,2025-02-21
E00044,C0051,P0272,first_login,2025-03-01
E00044,C0051,P0272,first_value,2025-03-06
E00044,C0051,P0272,core_complete,2025-05-16
E00045,C0053,P0066,contract_start,2025-01-01
E00045,C0053,P0066,kickoff,2025-01-17
E00045,C0053,P0066,first_login,2025-01-21
E00045,C0053,P0066,first_value,2025-01-26
E00046,C0077,P0145,contract_start,2025-04-01
E00046,C0077,P0145,kickoff,2025-04-15
E00046,C0077,P0145,first_login,2025-05-02
E00046,C0077,P0145,first_value,2025-04-20
E00046,C0077,P0145,core_complete,2025-05-03
E00047,C0038,P0085,contract_start,2025-04-01
E00047,C0038,P0085,kickoff,2025-04-20
E00047,C0038,P0085,first_login,2025-04-21
E00047,C0038,P0085,first_value,2025-06-08
E00047,C0038,P0085,core_complete,2025-07-25
E00048,C0001,P0473,contract_start,2025-07-01
E00048,C0001,P0473,kickoff,2025-07-10
E00048,C0001,P0473,first_login,2025-07-10
E00048,C0001,P0473,first_value,2025-08-20
E00048,C0001,P0473,core_complete,2025-10-11
E00049,C0026,P0019,contract_start,2025-02-01
E00049,C0026,P0019,kickoff,2025-02-19
E00049,C0026,P0019,first_login,2025-02-25
E00049,C0026,P0019,first_value,2025-03-13
E00049,C0026,P0019,core_complete,2025-04-03
E00050,C0098,P0459,contract_start,2025-11-01
E00050,C0098,P0459,kickoff,2025-11-22
E00050,C0098,P0459,first_login,2025-11-22
E00050,C0098,P0459,first_value,2025-11-16
E00051,C0047,P0058,contract_start,2025-05-01
