entitlement_id,cust_id,product_id,units_purchased,licensed_amount,start_date,end_date,contract_type,currency,fx_rate_to_usd,is_unlimited
E00001,C0074,P0464,1000,12000.0,2025-08-01,2026-07-31,New,USD,1.0,False
E00002,C0013,P0405,50,2400.0,2025-04-01,2026-03-31,Renewal,USD,1.0,False
E00003,C0047,P0249,10,120.0,2025-02-01,2026-01-31,New,GBP,1.27,False
E00004,C0037,P0444,500,6000.0,2025-01-01,2025-12-31,Renewal,USD,1.0,False
E00005,C0007,P0454,500,6000.0,2025-06-01,2026-05-31,New,USD,1.0,False
E00006,C0001,P0293,50,600.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00007,C0096,P0047,250,6000.0,2025-09-01,2026-08-31,Renewal,USD,1.0,False
E00008,C0097,P0378,500,60000.0,2025-05-01,2026-04-30,Renewal,EUR,1.09,False
E00009,C0016,P0112,100,2400.0,2025-11-01,2026-10-31,New,GBP,1.27,False
E00010,C0046,P0131,250,3000.0,2025-03-01,2026-02-28,Renewal,USD,1.0,False
E00011,C0029,P0217,25,3000.0,2025-05-01,2026-04-30,Renewal,USD,1.0,False
E00012,C0012,P0367,50,2400.0,2025-04-01,2026-03-31,Renewal,USD,1.0,False
E00013,C0084,P0340,10,120.0,2024-12-01,2025-11-30,Renewal,EUR,1.09,False
E00014,C0071,P0197,100,4800.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00015,C0064,P0351,500,6000.0,2025-11-01,2026-10-31,Renewal,EUR,1.09,False
E00016,C0060,P0466,2500,300000.0,2025-03-01,2026-02-28,Renewal,USD,1.0,False
E00017,C0033,P0422,250,6000.0,2025-04-01,2026-03-31,New,USD,1.0,False
E00018,C0039,P0451,2500,300000.0,2025-02-01,2026-01-31,Renewal,USD,1.0,False
E00019,C0093,P0482,25,3000.0,2025-04-01,2026-03-31,Renewal,EUR,1.09,False
E00020,C0031,P0449,500,6000.0,2025-06-01,2026-05-31,Renewal,USD,1.0,False
E00021,C0067,P0181,250,30000.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00022,C0004,P0015,500,6000.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00023,C0051,P0070,2500,30000.0,2025-02-01,2026-01-31,New,USD,1.0,False
E00024,C0057,P0043,250,3000.0,2025-10-01,2026-09-30,New,USD,1.0,False
E00025,C0058,P0352,50,6000.0,2025-08-01,2026-07-31,Renewal,EUR,1.09,False
E00026,C0081,P0377,2500,60000.0,2025-05-01,2026-04-30,New,USD,1.0,False
E00027,C0025,P0102,500,6000.0,2025-10-01,2026-09-30,New,USD,1.0,False
E00028,C0034,P0484,1000,24000.0,2025-02-01,2026-01-31,New,EUR,1.09,False
E00029,C0068,P0499,100,12000.0,2024-12-01,2025-11-30,New,EUR,1.09,False
E00030,C0053,P0317,50,6000.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00031,C0062,P0088,25,300.0,2025-02-01,2026-01-31,New,GBP,1.27,False
E00032,C0055,P0476,1000,120000.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00033,C0008,P0105,25,600.0,2025-07-01,2026-06-30,Renewal,USD,1.0,False
E00034,C0055,P0196,250,6000.0,2025-04-01,2026-03-31,New,USD,1.0,False
E00035,C0083,P0145,100,2400.0,2025-03-01,2026-02-28,New,GBP,1.27,False
E00036,C0002,P0500,50,2400.0,2025-06-01,2026-05-31,New,USD,1.0,False
E00037,C0035,P0351,100,12000.0,2025-07-01,2026-06-30,New,USD,1.0,False
E00038,C0039,P0499,50,6000.0,2025-07-01,2026-06-30,Renewal,EUR,1.09,False
E00039,C0081,P0377,1000,48000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00040,C0093,P0477,10,240.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00041,C0082,P0259,10,1200.0,2025-05-01,2026-04-30,New,USD,1.0,False
E00042,C0011,P0457,500,6000.0,2025-06-01,2026-05-31,Renewal,USD,1.0,False
E00043,C0043,P0477,50,2400.0,2025-04-01,2026-03-31,Renewal,USD,1.0,False
E00044,C0051,P0272,25,3000.0,2025-02-01,2026-01-31,New,USD,1.0,False
E00045,C0053,P0066,500,60000.0,2025-01-01,2025-12-31,Renewal,USD,1.0,False
E00046,C0077,P0145,500,24000.0,2025-04-01,2026-03-31,Renewal,GBP,1.27,False
E00047,C0038,P0085,500,24000.0,2025-04-01,2026-03-31,Renewal,USD,1.0,False
E00048,C0001,P0473,50,6000.0,2025-07-01,2026-06-30,New,USD,1.0,False
E00049,C0026,P0019,10,1200.0,2025-02-01,2026-01-31,New,USD,1.0,False
E00050,C0098,P0459,2500,300000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00051,C0047,P0058,2500,60000.0,2025-05-01,2026-04-30,New,USD,1.0,False
E00052,C0001,P0093,100,2400.0,2025-01-01,2025-12-31,Renewal,EUR,1.09,False
E00053,C0045,P0498,100,1200.0,2025-04-01,2026-03-31,Renewal,USD,1.0,False
E00054,C0052,P0040,50,1200.0,2025-09-01,2026-08-31,Renewal,USD,1.0,False
E00055,C0031,P0014,25,1200.0,2025-10-01,2026-09-30,Renewal,EUR,1.09,False
E00056,C0045,P0303,25,300.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00057,C0098,P0426,10,1200.0,2025-02-01,2026-01-31,Renewal,USD,1.0,False
E00058,C0084,P0023,10,1200.0,2025-04-01,2026-03-31,New,USD,1.0,False
E00059,C0039,P0025,50,2400.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00060,C0078,P0309,25,3000.0,2024-12-01,2025-05-01,New,USD,1.0,False
E00061,C0041,P0395,50,6000.0,2025-04-01,2026-03-31,New,USD,1.0,False
E00062,C0064,P0207,50,2400.0,2025-03-01,2026-02-28,Renewal,USD,1.0,False
E00063,C0057,P0252,50,6000.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00064,C0025,P0050,50,2400.0,2025-04-01,2025-09-01,Renewal,USD,1.0,False
E00065,C0067,P0244,2500,120000.0,2025-07-01,2026-06-30,Renewal,EUR,1.09,False
E00066,C0092,P0416,25,1200.0,2025-06-01,2026-05-31,Renewal,USD,1.0,False
E00067,C0015,P0263,1000,48000.0,2025-06-01,2026-05-31,Renewal,USD,1.0,False
E00068,C0056,P0366,100,2400.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00069,C0071,P0224,25,300.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00070,C0073,P0066,250,12000.0,2025-07-01,2026-06-30,Renewal,USD,1.0,False
E00071,C0056,P0025,1000,12000.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00072,C0091,P0212,25,300.0,2025-08-01,2026-07-31,Renewal,USD,1.0,False
E00073,C0040,P0300,250,3000.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00074,C0032,P0237,25,,2024-12-01,2025-11-30,Renewal,USD,1.0,True
E00075,C0065,P0449,10,480.0,2025-06-01,2026-05-31,New,USD,1.0,False
E00076,C0004,P0231,2500,120000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00077,C0079,P0383,100,4800.0,2025-02-01,2026-01-31,Renewal,USD,1.0,False
E00078,C0023,P0003,1000,120000.0,2025-01-01,2025-12-31,New,USD,1.0,False
E00079,C0099,P0208,2500,300000.0,2025-02-01,2026-01-31,New,USD,1.0,False
E00080,C0069,P0494,500,60000.0,2025-09-01,2026-08-31,Renewal,USD,1.0,False
E00081,C0005,P0098,50,600.0,2025-01-01,2025-12-31,Renewal,USD,1.0,False
E00082,C0051,P0108,100,12000.0,2025-11-01,2026-10-31,Renewal,EUR,1.09,False
E00083,C0093,P0321,100,2400.0,2025-10-01,2026-09-30,New,USD,1.0,False
E00084,C0013,P0012,50,600.0,2025-07-01,2026-06-30,New,USD,1.0,False
E00085,C0010,P0242,2500,30000.0,2025-02-01,2026-01-31,Renewal,GBP,1.27,False
E00086,C0023,P0292,100,12000.0,2025-09-01,2026-08-31,New,USD,1.0,False
E00087,C0073,P0366,25,3000.0,2024-12-01,2025-11-30,Renewal,USD,1.0,False
E00088,C0028,P0205,250,30000.0,2025-07-01,2026-06-30,Renewal,USD,1.0,False
E00089,C0074,P0032,2500,30000.0,2025-11-01,2026-10-31,New,USD,1.0,False
E00090,C0083,P0332,25,3000.0,2025-05-01,2026-04-30,Renewal,USD,1.0,False
E00091,C0033,P0331,2500,120000.0,2025-01-01,2025-12-31,New,USD,1.0,False
E00092,C0043,P0372,10,240.0,2025-06-01,2026-05-31,Renewal,USD,1.0,False
E00093,C0013,P0301,100,4800.0,2025-07-01,2026-06-30,Renewal,USD,1.0,False
E00094,C0017,P0151,2500,300000.0,2025-11-01,2026-10-31,Renewal,USD,1.0,False
E00095,C0046,P0410,500,12000.0,2025-10-01,2026-09-30,Renewal,USD,1.0,False
E00096,C0049,P0067,25,600.0,2025-04-01,2026-03-31,New,USD,1.0,False
E00097,C0029,P0213,2500,300000.0,2025-09-01,2026-08-31,New,USD,1.0,False
E00098,C0085,P0184,10,480.0,2025-03-01,2026-02-28,New,GBP,1.27,False
E00099,C0086,P0458,50,600.0,2025-02-01,2026-01-31,Renewal,EUR,1.09,False
E00100,C0044,P0117,1000,12000.0,2025-05-01,2026-04-30,Renewal,USD,1.0,False
E00101,C0009,P0402,250,12000.0,2025-07-01,2026-06-30,Renewal,GBP,1.27,False
E00102,C0044,P0437,250,3000.0,2025-08-01,2026-07-31,Renewal,EUR,1.09,False
E00103,C0063,P0387,2500,30000.0,2025-07-01,2026-06-30,Renewal,GBP,1.27,False
E00104,C0036,P0022,25,300.0,2025-09-01,2026-08-31,New,EUR,1.09,False
